url,event_id,task_id,task_type,trial_id,duration(mS),start(yyyy:mm:dd:hh:mn:ss:mls),end(yyyy:mm:dd:hh:mn:ss:mls),isi,set,stim_type,stim_id,stim_pool_id,response
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,0,0,instructions,0,1121,2017:50:23:18:51:20:315,2017:50:23:18:51:30:436,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,1,1,instructions,0,414.6,2017:50:23:18:51:30:436,2017:50:23:18:51:30:851,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,2,2,instructions,0,430.9,2017:50:23:18:51:30:851,2017:50:23:18:51:40:282,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,3,3,instructions,0,470.9,2017:50:23:18:51:40:282,2017:50:23:18:51:40:753,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,4,4,instructions,0,5002.2,2017:50:23:18:51:40:753,2017:50:23:18:51:90:755,,5000,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,5,5,instructions,0,1974.8,2017:50:23:18:51:90:755,2017:50:23:18:51:11:729,,5000,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/instructions/memory.html,6,6,instructions,0,430.2,2017:50:23:18:51:11:729,2017:50:23:18:51:12:160,,,,,,""
